Owner,Situs Address,ZIP,Parcel ID,Geo ID,Land Type,Acres,Market Value
1306 RIO GRANDE LLC,  1306 RIO GRANDE ST   TX 78701,78701,199636,0210000606,COMMERCIAL RES CONVERSION,0.1014,"$1,234,110"
1307 NUECES REALTY LLC,  1307 NUECES ST AUSTIN TX 78701,78701,199722,0210020701,COMMERCIAL IMPROVED,0.20280001,"$2,900,000"
1500 SAN JACINTO LLC,  1500 SAN JACINTO BLVD   TX 78701,78701,200188,0210041207,COMMERCIAL IMPROVED,0.2321,"$3,993,474"
1504 WEST AVE LLC,  1504 WEST AVE AUSTIN TX 78701,78701,202055,0211010714,COMMERCIAL RES CONVERSION,0.29300001,"$1,544,157"
1601 RIO GRANDE OWNER LP,  1601 RIO GRANDE ST   TX 78701,78701,199700,0210020410,COMMERCIAL IMPROVED,1.15509999,"$18,836,652"
"1610 LAVACA SERIES, FCDE LLC",  1610 LAVACA ST   TX 78701,78701,199847,0210022210,COMMERCIAL IMPROVED,0.1073,"$1,975,000"
1611 WEST LTD,  1611 WEST AVE AUSTIN TX 78701,78701,202084,0211010907,COMMERCIAL RES CONVERSION,0.2059,"$1,726,185"
1700 WEST AVENUE LLC,  1700 WEST AVE AUSTIN TX 78701,78701,201982,0211010207,SINGLE FAMILY RESIDENCE,0.23999999,"$2,768,104"
1809 N PEARL LLC,  1809 PEARL ST   TX 78701,78701,201977,0211010201,SINGLE FAMILY RESIDENCE,0.34670001,"$3,426,086"
1811 GUADALUPE LLC,  1811 GUADALUPE ST   TX 78701,78701,199861,0210022401,COMMERCIAL IMPROVED,0.2376,"$2,711,886"
1825 FORTVIEW JN INC & 1825 FORTVIEW SO INC,E 109 9 ST   TX 78701,78701,194435,0206030911,VACANT LOT,0.095,"$993,600"
1825 FORTVIEW JN INC & 1825 FORTVIEW SO INC,E 117 9 ST   TX 78701,78701,194436,0206030912,VACANT LOT,0.1214,"$1,269,600"
1835 CANNON LTD,  901 CONGRESS AVE AUSTIN TX 78701,78701,194440,0206031001,COMMERCIAL IMPROVED,0.169,"$18,003,927"
1915 LLC,W 709 14 ST   TX 78701,78701,199635,0210000603,,0.1219,$0
2015 AUSTIN GILFILLAN LP,W 603 8 ST   TX 78701,78701,105348,0107000501,COMMERCIAL RES CONVERSION,0.41580001,"$4,783,958"
2018 SINGLE FAMILY FUND 2 LP,E 1901 12 ST   TX 78701,78701,908537,0208090817,COMMERCIAL IMPROVED,0,"$2,349,133"
209 WEST 5TH LLC,W 209 5 ST   TX 78701,78701,194317,0206011702,COMMERCIAL IMPROVED,0.13519999,"$2,675,083"
213W4ATX LLC,W 213 4 ST   TX 78701,78701,194312,0206011604,COMMERCIAL IMPROVED,0.13519999,"$3,500,000"
221 W 6TH STREET TX OWNER LLC,W 221 6 ST   TX 78701,78701,194327,0206011820,COMMERCIAL IMPROVED,1.75590003,"$236,214,039"
